ID,Marca,Modelo,Año inicio,Año fin,Marca_ID
1,ASIA,TOWNER,1992,1999,1
2,BYD,HATCHBACK,1999,2005,2
3,BYD,F3 SEDAN,2012,2015,2
4,CHANGAN,GRAND VAN TURISMO,2019,2023,3
5,CHANGHE,FREEDOM (MOTOR 1100),2010,2023,4
6,CHANGHE,COOLCAR (MOTOR 1400),2010,2023,4
7,CHANGHE,COOLCAR (MOTOR 1400),2011,2016,4
8,CHERY,QQ,2009,2013,5
9,CHERY,FULWIN HB,2008,2023,5 
10,CHEVROLET,CORSA,2000,2009,6
11,CHEVROLET,SAIL,2009,2023,6
12,CHEVROLET,SPARK LITE (LT),2008,2014,6
13,CHEVROLET,SAIL,2016,2023,6
14,CHEVROLET,SONIC,2012,2016,6
15,CHEVROLET,AVEO,2009,2023,6
16,CHEVROLET,CORSA (CHEVITAXI),1992,2008,6
17,CHEVROLET,SPARK,2007,2023,6
18,CHEVROLET,CHEVETTE,1981,1992,6
19,CHEVROLET,N200,2009,2023,6
20,CHEVROLET,N300,2009,2023,6
21,CHEVROLET,OPTRA,2010,2013,6
22,CHEVROLET,OPTRA,2002,2009,6
23,CHEVROLET,VIVANT,2003,2023,6
24,CHEVROLET,CRUZE,2009,2016,6
25,CHEVROLET,CRUZE,2007,2013,6
26,CHEVROLET,CORSA EVOLUTION,2000,2010,6
27,CHEVROLET,CORSA (CHEVITAXI),2000,2009,6
28,CHEVROLET,PRISMA,2017,2023,6
29,CHEVROLET,SPIN,2012,2023,6
30,CHEVROLET,CAPTIVA,2011,2023,6
31,CHEVROLET,EVOLUTION,2000,2009,6
32,CHEVROLET,EVOLUTION,1992,2008,6
33,CHEVROLET,CRONOX,2008,2014,6
34,CHEVROLET,SONIC,2009,2013,6
35,DAEWOO,CIELO,1992,1999,7
36,DAEWOO,RACER,1992,1999,7
37,DAEWOO,TICO,1991,2000,7
38,DAEWOO,MAGNUS,2002,2006,7
39,DAEWOO,NUBIRA CDX,1997,2002,7
40,DAEWOO,LEGANZA,1997,2002,7
41,DAEWOO,MATIZ 3,2005,2010,7
42,DAEWOO,DAMAS,1992,1997,7
43,DAEWOO,MATIZ 1-2,2004,2010,7
44,DAEWOO,LANOS,1997,2002,7
45,DAEWOO,LEMANS,1992,1999,7
46,DAEWOO,MATIZ 3,1998,2002,7
47,DAEWOO,MATIZ 3,1981,1992,7
48,DAIHATSU,CHARADE G100-G102,1987,1993,8
49,DAIHATSU,TERIOS,2006,2023,8
50,DAIHATSU,"CHARADE G100,G102",1987,1993,8
51,DAIHATSU,TERIOS,1997,2002,8
52,DATSUN,STANZA,1977,1981,9
53,DONGFENG,GLORY 580,2016,2023,10
54,DONGFENG,GLORY 330,2020,2023,10
55,DONGFENG,DFM MINI,2010,2013,10
56,DONGFENG,DFM MINI,2010,2013,10
57,FAW,N5,2011,2013,11
58,FAW,V-70,2011,2011,11
59,FIAT,DUCATO (BUS),2010,2023,12
60,FORD,ESCORT AMERICANO,1985,1990,13
61,FORD,ESCORT AMERICANO,1990,1995,13
62,FORD,ECOSPORT,2013,2018,13
63,FORD,ESCORT EUROPEO,1997,2001,13
64,FORD,FESTIVA,1992,1997,13
65,FORD,TEMPO,1986,1990,13
66,GEELY,CK,2009,2013,14
67,GEELY,MK/CK,2010,2023,14
68,GEELY,MK,2008,2013,14
69,GREAT WALL,HAVAL H3,2013,2013,15
70,GREAT WALL,VOLEEX C30,2010,2023,15
71,HAFEI,JUNYI,2013,2013,16
72,HAFEI,LOBO,2006,2010,16
73,HAFEI,MINIVAN,2008,2023,16
74,HAFEI,MINIVAN,2008,2023,16
75,HONDA,CIVIC,1980,1987,17
76,HONDA,CIVIC,1992,2000,17
77,HONDA,CIVIC,2006,2011,17
78,HONDA,ACCORD,1990,1993,17
79,HONDA,CIVIC,1988,1991,17
80,HONDA,CRV,1998,2001,17
81,HONDA,CRV,2002,2006,17
82,HONDA,ACCORD,1994,1999,17
83,HONDA,ACCORD,1991,1998,17
84,HONDA,CRV,1995,2002,17
85,HONDA,PILOT,2003,2008,17
86,HONDA,CRV,2007,2011,17
87,HONDA,PARTNER,1996,2005,17
88,HYUNDAI,EXCEL,1989,1994,18
89,HYUNDAI,SONATA 2,1994,1998,18
90,HYUNDAI,SONATA 3,1998,2004,18
91,HYUNDAI,ACCENT (CÓNICO),1995,1999,18
92,HYUNDAI,TUCSON,2010,2013,18
93,HYUNDAI,ELANTRA,2011,2014,18
94,HYUNDAI,ELANTRA,2011,2013,18
95,HYUNDAI,ELANTRA,2007,2010,18
96,HYUNDAI,NEW ELANTRA,2016,2020,18
97,HYUNDAI,MATRIX,2000,2008,18
98,HYUNDAI,ELANTRA STW,2000,2006,18
99,HYUNDAI,ELANTRA,2000,2006,18
100,HYUNDAI,H1,2005,2008,18
101,HYUNDAI,ACCENT,2011,2014,18
102,HYUNDAI,SONATA 4,2001,2005,18
103,HYUNDAI,STAREX,2005,2008,18
104,HYUNDAI,SONATA N20,2007,2010,18
105,HYUNDAI,H1,2009,2023,18
