ID,Código,id,Posición,Precio,Año inicio,Año fin,Versión,Img_url
1,50,1podUxCSWIwh55KTCKGkN37lOTPojVhz0,0,,1994,1998,ORIG,https://drive.google.com/file/d/1podUxCSWIwh55KTCKGkN37lOTPojVhz0/view?usp=drivesdk
2,51,1e4FzQEPZsdsSmAfeAwMzdLsf3N9HdQ7O,1,,1994,1998,REF,https://drive.google.com/file/d/1e4FzQEPZsdsSmAfeAwMzdLsf3N9HdQ7O/view?usp=drivesdk
3,52,1-2RPxUvnI8XRnM3k9-Wr7JEx9_J-8SVF,0,,1993,1999,ORIG,https://drive.google.com/file/d/1-2RPxUvnI8XRnM3k9-Wr7JEx9_J-8SVF/view?usp=drivesdk
4,54,15Ov6YvLZwNVbiO8aVnzR1V-ekLAUBu2c,1,,1993,1999,REF,https://drive.google.com/file/d/15Ov6YvLZwNVbiO8aVnzR1V-ekLAUBu2c/view?usp=drivesdk
5,59,1AlwPR_fnsMnKCJT-k1k13SRSQxDot7l5,1,,2009,2012,ORIG/GLP,https://drive.google.com/file/d/1AlwPR_fnsMnKCJT-k1k13SRSQxDot7l5/view?usp=drivesdk
6,60,1CVTI6XVj69xRjAv_ZxhAM2klIsczLFDk,1,,1987,1993,ORIG,https://drive.google.com/file/d/1CVTI6XVj69xRjAv_ZxhAM2klIsczLFDk/view?usp=drivesdk
7,61,1bdRAaJEaQAPNKVgpbZc380DUe_PXuqaB,0,,1977,1981,ORIG,https://drive.google.com/file/d/1bdRAaJEaQAPNKVgpbZc380DUe_PXuqaB/view?usp=drivesdk
8,64,1lcMLHeMNnm173EdxSo4Ji04dl6Fh-Nq6,1,,2009,2012,GNV (2TQ),https://drive.google.com/file/d/1lcMLHeMNnm173EdxSo4Ji04dl6Fh-Nq6/view?usp=drivesdk
9,65,1abiqF0DC4fZyDLYtol4GYwD8Ejy2dQvM,1,,1992,1999,GNV (5),https://drive.google.com/file/d/1abiqF0DC4fZyDLYtol4GYwD8Ejy2dQvM/view?usp=drivesdk
10,66,1TSSkJ20tZuhuTlmrrw5kkGtCEOBq7m98,0,,1992,1999,ORIG,https://drive.google.com/file/d/1TSSkJ20tZuhuTlmrrw5kkGtCEOBq7m98/view?usp=drivesdk
11,67,1ZF3LJOsJZKDqUA_QQmxiaAfSAReM5hP4,0,,1991,2000,ORIG,https://drive.google.com/file/d/1ZF3LJOsJZKDqUA_QQmxiaAfSAReM5hP4/view?usp=drivesdk
12,72,1-MJNY7Qhd8iaRB65zCBv8NtUBZc9Wynt,0,,1980,1987,ORIG,https://drive.google.com/file/d/1-MJNY7Qhd8iaRB65zCBv8NtUBZc9Wynt/view?usp=drivesdk
13,73,1CuweFBiP-dyLJW4YBQXTAZDfvwzNUh6M,0,,1992,2000,ORIG,https://drive.google.com/file/d/1CuweFBiP-dyLJW4YBQXTAZDfvwzNUh6M/view?usp=drivesdk
