CÓDIGO,LISTA TIENDAS
50,375
51,345
52,395
54,354
59,112
60,102
61,154
64,196
65,196
66,162
67,107
72,164
73,193
74,136
78,149
80,147
86,199
87,189
90,145
91,108
92,160
93,260
445,145
447,162
449,134
452,319
454,234
455,166
460,133
462,218
464,121
465,133
466,101
467,101
479,140
480,183
481,146
482,160
483,216
484,187
485,206
486,127
488,130
489,131
490,127
491,137
492,148
493,144
494,113
495,127
496,156
497,169
498,134
499,180
500,237
501,183
502,126
503,137
504,167
505,167
506,123
507,173
509,190
510,134
512,298
513,557
514,429
515,383
516,320
518,127
519,323
520,293
521,149
522,168
523,163
524,304
525,258
526,149
527,182
533,140
539,263
541,183
617,201
654,177
662,144
667,248
668,435
673,224
679,137
1973,119
2254,143
2280,163
2282,105
3262,285
3322,149
3328,226
3436,139
3437,159
3478,180
3541,178
3542,372
3585,415
3590,175
3839,153
3871,143
4289,294
4378,199
4771,498
4948,127
5121,96
5131,267
5255,161
5358,153
5362,287
5501,115
5559,135
5592,381
5616,222
5624,191
5727,307
5737,369
5797,492
5901,160
5967,200
6021,281
6075,147
6180,176
6199,484
6200,344
6231,136
6241,172
6331,139
6335,602
6400,347
6503,381
6659,560
6829,399
6909,198
7280,134
7305,134
7789,432
7802,193
7806,127
7850,198
7950,275
7963,166
8154,258
8192,218
8194,279
8241,278
8249,124
8250,146
8269,181
8297,161
8493,146
8505,158
8545,229
8676,181
8751,143
8752,169
8759,210
8774,227
8775,141
8783,135
8811,98
8935,172
8941,149
9052,147
9077,312
9079,274
9160,157
9201,112
9243,156
9263,162
9281,171
9296,119
9315,149
9325,120
9464,134
9465,164
9471,190
9511,161
9542,152
9543,128
9638,118
9650,177
9670,435
9787,139
9814,131
9817,98
9841,142
9842,117
9895,210
9939,127
10084,142
10085,114
10092,146
10222,133
10260,431
10307,146
10324,289
10337,99
10361,195
10364,154
10392,233
10418,171
10464,158
10505,143
10550,171
10593,141
10781,163
10881,233
10918,132
10928,220
10947,165
11079,155
11094,299
11143,178
11145,278
11148,74
11159,176
11182,320
11283,170
11350,105
11417,112
11420,117
11435,215
11440,165
11441,116
11446,186
11449,144
11494,374
11628,188
11679,142
11680,154
11691,151
11706,184
11711,203
11760,295
11784,183
11817,119
11903,134
11925,251
11945,440
12006,659
12014,154
12040,332
12041,366
12165,726
12166,588
12179,220
12181,131
12204,173
12274,137
12275,173
12525,127
12540,214
12541,236
12546,149
12579,428
12583,181
12586,248
12718,269
12720,138
12721,188
12755,161
12841,331
12853,145
12870,426
12978,165
12999,196
13085,665
13102,184
13116,141
13128,138
13136,281
13151,182
13157,142
13158,298
13198,245
13208,352
13209,280
13210,149
13223,176
13253,111
13264,420
13324,185
13340,117
13346,159
13415,161
13418,167
13420,348
13451,325
13457,399
13545,114
13634,160
13636,211
13702,223
13703,158
13706,147
13714,131
13715,171
13732,218
13785,143
13872,206
13956,199
13957,344
13961,514
13987,202
14016,533
14138,139
14201,137
14232,138
14242,384
14243,434
14244,245
14246,344
14256,262
14258,151
14260,108
14262,172
14264,163
14312,182
14314,198
14315,132
14375,315
14423,129
14447,151
14472,119
14474,284
14475,169
14567,265
14604,273
14608,173
14618,145
14663,207
14671,191
14913,163
14930,327
15157,177
15251,157
15254,163
15263,433
15264,185
15331,276
15333,511
15365,330
15464,192
15631,123
15734,155
15744,166
15902,416
15998,367
16089,520
16103,161
16138,163
16141,140
16155,347
16160,168
16192,166
16228,171
16241,379
16266,281
16342,166
16441,299
16469,221
16590,405
16646,359
16653,211
16882,201
17134,167
17216,210
17218,162
17308,375
17470,171
17471,171
17557,365
17650,163
17685,370
17719,170
17725,169
17825,552
17909,323
18174,323
18346,150
18394,173
18848,165
18967,157
19022,196
19100,162
19111,285
19179,194
19550,329
14422,320
14540,196
15593,342
15609,328
16882,178
17913,183
18176,399
18845,193
19173,214
19643,162
20033,180
20080,148
20154,191
20159,183
20775,547
14421,252
21890,196
22040,114
22305,230
22583,158
22618,152
22619,210
22620,230
22703,144
22811,166
22812,154.4
22821,236
22822,203.14
14014,374.82
23162,231.42
22152,152.8
22799,174.06
22153,185.78
