ID,Alambre,D. Ext 1,D. Ext 2,Vueltas,D. Int 1,D. Int 2,Altura,Codigo_OSIS
1,14,134,-,10,-,63,445,50
2,14,130,-,9.25,-,57,370,51
3,15,132,-,9.125,-,67,445,52
4,15,126,-,8.75,-,55,360,54
5,10.5,103,-,7.5,-,-,345,59
6,10,105,-,7.875,-,-,350,60
7,11,111,-,9.875,-,-,400,61
8,11.5,101,-,11.875,-,-,360,64
9,13.5,150,-,6,48,48,255,65
10,12.5,139,-,6.25,85,83,310,66
11,10,102,-,7.875,-,70,328,67
12,12,130,-,7.5,-,-,300,72
13,12,96.5,-,11.5,58.5,-,375,73
14,10.5,100,-,10.5,-,63,375,74
15,12,140,-,6,-,-,330,78
16,11.5,119,-,7.75,-,-,310,80
17,13.5,171,-,5.125,-,-,365,86
18,13.5,160,-,5.5,-,-,370,87
19,10.5,108,-,10,-,-,410,90
20,10,99,-,7.875,-,-,345,91
21,12,118,-,8,-,88.5,380,92
22,15,118,-,7,-,-,320,93
23,12.5,152,-,5.25,-,-,370,445
24,12.5,151.5,-,5.5,-,-,370,447
25,12,152,110,5.875,-,-,345,449
26,14,113,-,10,-,-,382,452
27,13.5,162,-,6.875,-,89,400,454
28,12.5,162,-,5.375,-,115,400,455
29,12,142,110,6.5,-,-,360,460
30,13,133,-,8.25,89,-,405,462
31,11.5,142,128,5.375,-,-,325,464
32,12,142,128,5.375,-,-,325,465
33,10,94,-,8.5,-,-,330,466
34,10,94,-,9.5,-,-,370,467
35,11,112,-,8.5,45,-,340,479
36,13,138.5,-,7,-,76.6,365,480
37,12,160,107,6.5,-,-,337,481
38,12.5,150,-,6,120,-,385,482
39,13,130,-,8.25,-,-,375,483
40,12.5,130,-,8,-,-,375,484
41,13.5,152,-,6.25,-,102,315,485
42,11,121,-,6.875,-,-,355,486
43,11,121,-,6.875,-,-,385,488
44,11,112,-,7.5,-,-,320,489
45,11,112,-,7.5,-,-,350,490
46,12,142,-,5.625,-,-,360,491
47,12,140,-,6,-,-,380,492
48,12,140,-,6,-,-,335,493
49,11,110,-,7,81,-,315,494
50,11.5,110,-,7,81,-,325,495
51,12.5,154,-,5.125,-,87,346,496
52,13,152,-,5.25,-,87,360,497
53,12,111,-,6.875,-,68,290,498
54,12.5,142,-,6.5,-,-,385,499
55,13.5,132,-,8.75,-,-,405,500
56,12.5,151.5,-,6,-,-,400,501
57,11.5,152,110,5.75,-,-,345,502
58,11.5,142,110,6.5,-,-,360,503
59,12,130,-,7.25,64.5,64.5,340,504
60,12,130,-,7.25,64.5,64.5,325,505
61,11,88,-,10,-,-,315,506
62,13.5,171,-,4.5,-,-,340,507
63,12,87,-,11.75,-,-,340,509
64,11.5,130,-,6.5,-,84,305,510
65,14,175,-,5.75,-,-,430,512
66,16,179,-,6.5,-,-,420,514
67,15,176,-,6.5,-,-,420,515
68,15,115,-,8.5,-,63,310,516
69,11,101,-,8.75,61,-,355,518
70,14,133,-,8.625,-,-,435,519
71,14,155,-,6.5,-,-,380,520
72,12,106,-,9.25,73,-,327,521
73,12,128,-,7.5,-,-,405,522
74,12,132,-,7,-,-,370,523
75,15,156,-,5.875,-,-,380,524
76,14,156,-,5.625,-,-,380,525
77,11.5,118,-,8,-,88.5,380,526
78,13,141.5,109,6.875,-,-,380,527
79,11.5,100.5,-,9.5,64,-,370,533
80,12.5,127,-,9.375,50,-,450,539
81,11.5,126.4,-,6.5,50.6,75,331,541
82,13,133,-,7.75,89,-,365,617
83,10.5,120,-,8.625,-,65,330,654
84,12.5,112,-,7.375,-,68,309,662
85,15,118,-,6.5,78,-,295,667
86,16,181.5,151.5,7.125,-,-,393,668
87,13.5,170,-,4.75,-,125,375,673
88,11.5,104,-,8,54,-,360,679
89,13,111,-,7.75,-,-,250,1819
90,11,104,-,8.25,52,-,374,1973
91,12,150,91.5,7.25,-,-,383,2254
92,13.5,173,146,4.625,-,-,315,2280
93,11,97,-,6.75,-,-,300,2282
94,15,140,-,6,51.7,51.7,290,3262
95,12,122.5,-,7,-,62,329,3322
96,11.5,106,-,10.75,-,76,420,3326
97,13.5,156,-,5.25,-,87,360,3328
98,13,164,-,4.25,-,127,315,3436
99,13,151,-,5.25,-,99.5,318,3437
100,13,114,-,8.5,-,68,310,3478
101,13.5,156,-,5.5,-,-,375,3541
102,16,121,-,8.25,70,72,345,3542
103,18,123.5,-,7.25,-,-,300,3585
104,12.5,121,-,8,64,64,335,3590
105,13.5,185,166,4,-,-,370,3839
106,12.5,152,110,5.875,-,-,348,3871
107,14,132,-,8,-,-,380,4289
108,13,123,-,8.5,-,58,375,4378
109,19,207,-,4.75,166,110,317,4771
110,17,111,-,10,-,66,375,4848
111,13,126,-,4.75,-,-,260,4948
112,10.5,112,-,6.75,75,80,290,5121
113,14,175,-,5.25,-,-,390,5131
114,13,138,-,6.5,33,43.5,252,5255
115,13,135,-,5.5,61,44,265,5358
116,14,173,-,5.5,-,-,400,5362
117,11.5,149,-,4.75,-,110,320,5501
118,11.5,122,-,7,-,71,324,5559
119,16,109.5,-,9.5,-,65,370,5592
120,13.5,151.5,-,5.5,-,-,365,5616
121,14,121,-,5.75,-,67,276,5624
122,14,125,-,8.75,-,59,390,5727
123,17,129,-,6.75,64,-,307,5737
124,19,163,-,6,81,-,333,5797
125,12,111,-,8.875,-,-,340,5901
126,13.5,110,-,9.125,62,-,340,5967
127,15,140,-,6,58,44,305,6021
128,11.5,118,-,7.5,100,69,365,6075
129,13.5,165,-,5,-,92,330,6180
130,16,127,-,10.5,-,-,463,6199
131,15,155,-,6.625,86,-,385,6200
132,11.5,145,-,5.75,95,87.5,375,6231
133,12,121,-,7.875,-,68,367,6241
134,11.5,105,-,8.5,61.5,-,360,6331
135,19,164,-,7.125,80,-,341,6335
136,17,200,-,4,-,110,354,6400
137,17,123.5,-,7.375,-,65,315,6503
